Date,Total
2012/1/1,141
2012/1/2,143
2012/1/3,184
2012/1/4,176
2012/1/5,150
2012/1/6,184
2012/1/7,140
2012/1/8,107
2012/1/9,143
2012/1/10,173
2012/1/11,188
2012/1/12,175
2012/1/13,200
2012/1/14,163
2012/1/15,134
2012/1/16,177
2012/1/17,181
2012/1/18,190
2012/1/19,212
2012/1/20,233
2012/1/21,162
2012/1/22,89
2012/1/23,173
2012/1/24,176
2012/1/25,193
2012/1/26,158
2012/1/27,228
2012/1/28,153
2012/1/29,91
2012/1/30,113
2012/1/31,127
2012/2/1,134
2012/2/2,140
2012/2/3,188
2012/2/4,137
2012/2/5,84
2012/2/6,112
2012/2/7,139
2012/2/8,106
2012/2/9,164
2012/2/10,164
2012/2/11,144
2012/2/12,110
2012/2/13,117
2012/2/14,135
2012/2/15,149
2012/2/16,131
2012/2/17,186
2012/2/18,141
2012/2/19,115
2012/2/20,131
2012/2/21,155
2012/2/22,148
2012/2/23,163
2012/2/24,143
2012/2/25,134
2012/2/26,118
2012/2/27,123
2012/2/28,124
2012/2/29,148
2012/3/1,140
2012/3/2,193
2012/3/3,147
2012/3/4,122
2012/3/5,127
2012/3/6,157
2012/3/7,167
2012/3/8,186
2012/3/9,179
2012/3/10,178
2012/3/11,122
2012/3/12,157
2012/3/13,167
2012/3/14,185
2012/3/15,184
2012/3/16,227
2012/3/17,135
2012/3/18,121
2012/3/19,150
2012/3/20,163
2012/3/21,162
2012/3/22,171
2012/3/23,192
2012/3/24,178
2012/3/25,150
2012/3/26,159
2012/3/27,194
2012/3/28,221
2012/3/29,191
2012/3/30,207
2012/3/31,168
2012/4/1,173
2012/4/2,169
2012/4/3,166
2012/4/4,179
2012/4/5,168
2012/4/6,186
2012/4/7,154
2012/4/8,122
2012/4/9,105
2012/4/10,191
2012/4/11,163
2012/4/12,157
2012/4/13,159
2012/4/14,164
2012/4/15,123
2012/4/16,147
2012/4/17,164
2012/4/18,149
2012/4/19,152
2012/4/20,195
2012/4/21,146
2012/4/22,134
2012/4/23,112
2012/4/24,148
2012/4/25,134
2012/4/26,134
2012/4/27,149
2012/4/28,168
2012/4/29,124
2012/4/30,137
2012/5/1,141
2012/5/2,152
2012/5/3,161
2012/5/4,169
2012/5/5,155
2012/5/6,129
2012/5/7,135
2012/5/8,87
2012/5/9,184
2012/5/10,181
2012/5/11,211
2012/5/12,205
2012/5/13,160
2012/5/14,190
2012/5/15,221
2012/5/16,192
2012/5/17,147
2012/5/18,148
2012/5/19,163
2012/5/20,119
2012/5/21,169
2012/5/22,163
2012/5/23,189
2012/5/24,195
2012/5/25,246
2012/5/26,206
2012/5/27,151
2012/5/28,146
2012/5/29,221
2012/5/30,182
2012/5/31,220
2012/6/1,189
2012/6/2,201
2012/6/3,129
2012/6/4,167
2012/6/5,210
2012/6/6,199
2012/6/7,188
2012/6/8,219
2012/6/9,181
2012/6/10,155
2012/6/11,177
2012/6/12,203
2012/6/13,195
2012/6/14,194
2012/6/15,242
2012/6/16,200
2012/6/17,180
2012/6/18,177
2012/6/19,176
2012/6/20,180
2012/6/21,215
2012/6/22,240
2012/6/23,177
2012/6/24,154
2012/6/25,176
2012/6/26,208
2012/6/27,193
2012/6/28,198
2012/6/29,223
2012/6/30,200
2012/7/1,172
2012/7/2,192
2012/7/3,194
2012/7/4,187
2012/7/5,217
2012/7/6,220
2012/7/7,178
2012/7/8,118
2012/7/9,155
2012/7/10,147
2012/7/11,191
2012/7/12,179
2012/7/13,197
2012/7/14,150
2012/7/15,125
2012/7/16,157
2012/7/17,161
2012/7/18,177
2012/7/19,148
2012/7/20,189
2012/7/21,181
2012/7/22,152
2012/7/23,215
2012/7/24,199
2012/7/25,223
2012/7/26,168
2012/7/27,168
2012/7/28,166
2012/7/29,150
2012/7/30,159
2012/7/31,163
2012/8/1,148
2012/8/2,149
2012/8/3,184
2012/8/4,147
2012/8/5,129
2012/8/6,148
2012/8/7,139
2012/8/8,151
2012/8/9,144
2012/8/10,174
2012/8/11,153
2012/8/12,126
2012/8/13,124
2012/8/14,144
2012/8/15,111
2012/8/16,117
2012/8/17,176
2012/8/18,140
2012/8/19,121
2012/8/20,137
2012/8/21,161
2012/8/22,137
2012/8/23,171
2012/8/24,135
2012/8/25,152
2012/8/26,102
2012/8/27,165
2012/8/28,141
2012/8/29,159
2012/8/30,171
2012/8/31,190
2012/9/1,150
2012/9/2,131
2012/9/3,156
2012/9/4,173
2012/9/5,168
2012/9/6,229
2012/9/7,250
2012/9/8,221
2012/9/9,186
2012/9/10,192
2012/9/11,213
2012/9/12,166
2012/9/13,201
2012/9/14,232
2012/9/15,186
2012/9/16,171
2012/9/17,171
2012/9/18,168
2012/9/19,212
2012/9/20,199
2012/9/21,233
2012/9/22,189
2012/9/23,155
2012/9/24,225
2012/9/25,218
2012/9/26,180
2012/9/27,220
2012/9/28,270
2012/9/29,204
2012/9/30,176
2012/10/1,177
2012/10/2,219
2012/10/3,211
2012/10/4,244
2012/10/5,258
2012/10/6,209
2012/10/7,138
2012/10/8,202
2012/10/9,222
2012/10/10,200
2012/10/11,206
2012/10/12,250
2012/10/13,184
2012/10/14,143
2012/10/15,211
2012/10/16,199
2012/10/17,195
2012/10/18,185
2012/10/19,243
2012/10/20,202
2012/10/21,152
2012/10/22,185
2012/10/23,190
2012/10/24,201
2012/10/25,193
2012/10/26,214
2012/10/27,190
2012/10/28,110
2012/10/29,162
2012/10/30,172
2012/10/31,182
2012/11/1,132
2012/11/2,190
2012/11/3,157
2012/11/4,134
2012/11/5,167
2012/11/6,177
2012/11/7,196
2012/11/8,166
2012/11/9,210
2012/11/10,191
2012/11/11,134
2012/11/12,182
2012/11/13,200
2012/11/14,178
2012/11/15,172
2012/11/16,206
2012/11/17,181
2012/11/18,128
2012/11/19,186
2012/11/20,184
2012/11/21,177
2012/11/22,205
2012/11/23,238
2012/11/24,145
2012/11/25,119
2012/11/26,176
2012/11/27,181
2012/11/28,191
2012/11/29,193
2012/11/30,223
2012/12/1,160
2012/12/2,143
2012/12/3,211
2012/12/4,247
2012/12/5,178
2012/12/6,208
2012/12/7,181
2012/12/8,156
2012/12/9,115
2012/12/10,162
2012/12/11,182
2012/12/12,192
2012/12/13,189
2012/12/14,232
2012/12/15,181
2012/12/16,133
2012/12/17,191
2012/12/18,194
2012/12/19,228
2012/12/20,228
2012/12/21,264
2012/12/22,184
2012/12/23,118
2012/12/24,115
2012/12/25,72
2012/12/26,110
2012/12/27,124
2012/12/28,142
2012/12/29,148
2012/12/30,92
2012/12/31,113
2013/1/1,116
2013/1/2,140
2013/1/3,132
2013/1/4,130
2013/1/5,122
2013/1/6,92
2013/1/7,127
2013/1/8,165
2013/1/9,179
2013/1/10,220
2013/1/11,219
2013/1/12,140
2013/1/13,89
2013/1/14,162
2013/1/15,155
2013/1/16,154
2013/1/17,143
2013/1/18,167
2013/1/19,110
2013/1/20,81
2013/1/21,84
2013/1/22,127
2013/1/23,150
2013/1/24,131
2013/1/25,160
2013/1/26,134
2013/1/27,97
2013/1/28,193
2013/1/29,162
2013/1/30,161
2013/1/31,153
2013/2/1,183
2013/2/2,134
2013/2/3,103
2013/2/4,157
2013/2/5,151
2013/2/6,191
2013/2/7,155
2013/2/8,185
2013/2/9,123
2013/2/10,106
2013/2/11,150
2013/2/12,160
2013/2/13,134
2013/2/14,154
2013/2/15,173
2013/2/16,137
2013/2/17,90
2013/2/18,144
2013/2/19,155
2013/2/20,144
2013/2/21,137
2013/2/22,140
2013/2/23,115
2013/2/24,80
2013/2/25,92
2013/2/26,111
2013/2/27,139
2013/2/28,148
2013/3/1,120
2013/3/2,126
2013/3/3,112
2013/3/4,149
2013/3/5,148
2013/3/6,124
2013/3/7,140
2013/3/8,148
2013/3/9,168
2013/3/10,99
2013/3/11,145
2013/3/12,115
2013/3/13,89
2013/3/14,123
2013/3/15,158
2013/3/16,133
2013/3/17,106
2013/3/18,134
2013/3/19,109
2013/3/20,132
2013/3/21,175
2013/3/22,156
2013/3/23,120
2013/3/24,105
2013/3/25,136
2013/3/26,137
2013/3/27,111
2013/3/28,158
2013/3/29,150
2013/3/30,128
2013/3/31,91
2013/4/1,108
2013/4/2,149
2013/4/3,136
2013/4/4,112
2013/4/5,157
2013/4/6,146
2013/4/7,137
2013/4/8,149
2013/4/9,166
2013/4/10,145
2013/4/11,148
2013/4/12,209
2013/4/13,151
2013/4/14,182
2013/4/15,159
2013/4/16,160
2013/4/17,179
2013/4/18,177
2013/4/19,187
2013/4/20,142
2013/4/21,139
2013/4/22,125
2013/4/23,147
2013/4/24,154
2013/4/25,198
2013/4/26,151
2013/4/27,132
2013/4/28,107
2013/4/29,139
2013/4/30,162
2013/5/1,106
2013/5/2,154
2013/5/3,165
2013/5/4,150
2013/5/5,133
2013/5/6,148
2013/5/7,162
2013/5/8,114
2013/5/9,107
2013/5/10,147
2013/5/11,134
2013/5/12,126
2013/5/13,164
2013/5/14,143
2013/5/15,167
2013/5/16,172
2013/5/17,183
2013/5/18,153
2013/5/19,123
2013/5/20,127
2013/5/21,166
2013/5/22,162
2013/5/23,135
2013/5/24,182
2013/5/25,158
2013/5/26,131
